# Entries are in format
# RULE_ID,EVENT_ID,EVENT_DESCRIPTION

# IPC Events
PMU_EV_01,08,INST_RETIRED
PMU_EV_01,11,CPU_CYCLES

# Cache Events
PMU_EV_02,04,L1D_CACHE
PMU_EV_02,13,MEM_ACCESS
PMU_EV_02,14,L1I_CACHE
PMU_EV_02,16,L2D_CACHE
PMU_EV_02,27,L2I_CACHE
PMU_EV_02,2B,L3D_CACHE
PMU_EV_02,36,LL_CACHE_RD
PMU_EV_02,0037,LL_CACHE_MISS_RD
PMU_EV_02,39,L1D_CACHE_LMISS_RD
PMU_EV_02,40,L1D_CACHE_RD
PMU_EV_02,50,L2D_CACHE_RD
PMU_EV_02,66,MEM_ACCESS_RD
PMU_EV_02,A0,L3D_CACHE_RD
PMU_EV_02,4006,L1I_CACHE_LMISS
PMU_EV_02,4009,L2D_CACHE_LMISS_RD
PMU_EV_02,400A,L2I_CACHE_LMISS
PMU_EV_02,400B,L3D_CACHE_LMISS_RD

# TLB Events
PMU_EV_03,25,L1D_TLB
PMU_EV_03,26,L1I_TLB
PMU_EV_03,34,DTLB_WALK 
PMU_EV_03,35,ITLB_WALK

# Cycle accounting events
PMU_EV_05,11,CPU_CYCLES
PMU_EV_05,23,STALL_FRONTEND
PMU_EV_05,24,STALL_BACKEND
PMU_EV_05,3C,STALL
PMU_EV_05,4005,STALL_BACKEND_MEM

# Top-down accounting events
PMU_EV_06,11,CPU_CYCLES
PMU_EV_06,3A,OP_RETIRED
PMU_EV_06,3B,OP_SPEC
PMU_EV_06,3D,STALL_SLOT_BACKEND
PMU_EV_06,3E,STALL_SLOT_FRONTEND
PMU_EV_06,3F,STALL_SLOT

# Workload Events
PMU_EV_07,80C1,FP_FIXED_OPS_SPEC
#PMU_EV_07,80C9,INT_FIXED_OPS_SPEC

#Branching Events
PMU_EV_08,000C,PC_WRITE_RETIRED
PMU_EV_08,000D,BR_IMMED_RETIRED
PMU_EV_08,000E,BR_RETURN_RETIRED
PMU_EV_08,0021,BR_RETIRED
PMU_EV_08,0022,BR_MIS_PRED_RETIRED
PMU_EV_08,8110,BR_IMMED_PRED_RETIRED
PMU_EV_08,8111,BR_IMMED_MIS_PRED_RETIRED
PMU_EV_08,8112,BR_IND_PRED_RETIRED
PMU_EV_08,8113,BR_IND_MIS_PRED_RETIRED
PMU_EV_08,8114,BR_RETURN_PRED_RETIRED
PMU_EV_08,8115,BR_RETURN_MIS_PRED_RETIRED
PMU_EV_08,8116,BR_INDNR_PRED_RETIRED
PMU_EV_08,8117,BR_INDNR_MIS_PRED_RETIRED
PMU_EV_08,8118,BR_TAKEN_PRED_RETIRED
PMU_EV_08,8119,BR_TAKEN_MIS_PRED_RETIRED
PMU_EV_08,811A,BR_SKIP_PRED_RETIRED
PMU_EV_08,811B,BR_SKIP_MIS_PRED_RETIRED
PMU_EV_08,811C,BR_PRED_RETIRED
PMU_EV_08,811D,BR_IND_RETIRED
PMU_EV_08,811E,BR_INDNR_RETIRED

#Latency Events
PMU_EV_10,13,MEM_ACCESS
PMU_EV_10,19,BUS_ACCESS
PMU_EV_10,34,DTLB_WALK
PMU_EV_10,35,ITLB_WALK
PMU_EV_10,60,BUS_ACCESS_RD
PMU_EV_10,61,BUS_ACCESS_WR
PMU_EV_10,66,MEM_ACCESS_RD
PMU_EV_10,67,MEM_ACCESS_WR
